City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
318,Mabaruma,GY,73.33,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
319,Cockburn Town,TC,77.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
320,Nikki,BJ,75.69,scattered clouds,9.9401,3.2108,Hotel John
331,New Amsterdam,GY,73.31,scattered clouds,6.25,-57.5167,Little Rock Suites
333,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
334,Takoradi,GH,78.94,few clouds,4.8845,-1.7554,Raybow International Hotel
336,Alofi,NU,81.95,clear sky,-19.0595,-169.9187,Taloa Heights
344,Namibe,AO,75.29,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
348,Bolobo,CD,72.12,overcast clouds,-2.1667,16.2333,Hotel de Stephen
351,Aquidauana,BR,75.47,few clouds,-20.4711,-55.7872,HOTEL ARARAS
354,Aripuana,BR,70.61,overcast clouds,-9.1667,-60.6333,
355,Puerto Escondido,MX,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
357,Santa Isabel Do Rio Negro,BR,73.08,broken clouds,-0.4139,-65.0192,Hotel GSA
359,Puerto Colombia,CO,78.89,broken clouds,10.9878,-74.9547,Hotel El Emigrante
362,Galle,LK,78.44,scattered clouds,6.0367,80.217,Amangalla
365,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
366,Mineros,BO,78.39,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
368,Talara,PE,72.1,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
374,Santa Leopoldina,BR,78.42,moderate rain,-20.1006,-40.5297,Pousada e padaria central
376,Banfora,BF,79.84,clear sky,10.6333,-4.7667,Residences David Hebié
378,Gambiran,ID,80.33,overcast clouds,-6.7988,111.4951,GUBUK KU
380,Barranca,PE,72.12,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
384,Kirakira,SB,84.88,scattered clouds,-10.4544,161.9205,SanBiz Lodge
386,Vao,NC,78.4,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
389,Ariquemes,BR,71.44,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
394,Pedernales,DO,77.07,scattered clouds,18.0384,-71.744,Hotel Costa Marina
397,Manaure,CO,76.28,few clouds,11.7751,-72.4445,Hotel Palaaima
398,Kaeo,NZ,77.32,few clouds,-35.1,173.7833,Bushido Lodge
399,Bali,ID,85.23,overcast clouds,-8.5,115.0,Pondok Pitaya
400,Port Elizabeth,ZA,70.09,clear sky,-33.918,25.5701,39 On Nile Guest House
401,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
404,Bull Savanna,JM,73.02,clear sky,17.8868,-77.5902,Big Red's
407,Whitianga,NZ,71.71,scattered clouds,-36.8333,175.7,Beachside Resort Whitianga
411,Morondava,MG,79.27,overcast clouds,-20.2833,44.2833,La Case Bambou
412,Vila Velha,BR,78.75,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
413,Ambanja,MG,72.63,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
416,Santa Fe,AR,75.02,light rain,-31.6333,-60.7,Conquistador Hotel
417,Flinders,AU,85.17,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
419,Basco,PH,70.83,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
427,Kavieng,PG,83.86,light rain,-2.5744,150.7967,Nusa Island Retreat
428,Ayame,CI,77.14,overcast clouds,5.6083,-3.1563,Hotel Bossan
432,Escarcega,MX,75.85,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
434,Iracoubo,GF,75.06,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
435,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
442,Weston,US,73.42,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
444,Majene,ID,82.51,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
453,Emerald,AU,84.34,overcast clouds,-23.5333,148.1667,The Irish Village
454,Pimentel,PE,72.01,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
458,Vanimo,PG,76.32,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
460,Atambua,ID,82.94,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
461,Bonthe,SL,77.43,clear sky,7.5264,-12.505,Bonthe Holiday Village
464,Champerico,GT,81.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
465,Jaguaruna,BR,70.05,scattered clouds,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
467,Bambous Virieux,MU,81.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
468,Simpang Empat,MY,87.8,broken clouds,4.95,100.6333,"Fifiey Homestay 1, Selinsing RM160"
472,Kingaroy,AU,78.3,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
475,Mahina,PF,82.17,broken clouds,-17.5065,-149.489,Relais de la Maroto
477,Road Town,VG,75.99,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
481,Pouembout,NC,83.68,overcast clouds,-21.1333,164.9,Camping de Tipenga
482,Sikasso,ML,76.33,clear sky,10.9167,-7.0,
484,Sao Francisco De Assis,BR,75.83,clear sky,-29.5503,-55.1311,Hotel Aguiar
485,Anloga,GH,80.19,overcast clouds,5.7947,0.8973,Pin Drop Hotel
487,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
489,Yeppoon,AU,87.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
493,Trairi,BR,76.23,overcast clouds,-3.2778,-39.2689,janelas do mar
497,Port-Gentil,GA,80.71,light rain,-0.7193,8.7815,Fengshui Residence
501,Monrovia,LR,78.78,clear sky,6.3005,-10.7969,Sunset Inn
508,Samarai,PG,85.93,scattered clouds,-10.6167,150.6667,Nuli Sapi
511,Maraba,BR,72.25,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
513,Batticaloa,LK,77.29,broken clouds,7.7102,81.6924,Grand Star Guest House
514,Presidencia Roque Saenz Pena,AR,83.7,broken clouds,-26.7852,-60.4388,Hotel Gualok
518,Port Moresby,PG,85.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
523,Makurdi,NG,76.69,broken clouds,7.7411,8.5121,Doo Palace Hotel
524,Qandala,SO,70.34,few clouds,11.472,49.8728,
525,Bonito,BR,76.57,clear sky,-21.1211,-56.4819,Marruá Hotel
527,Bourail,NC,81.45,overcast clouds,-21.5667,165.4833,Motel Allamanda
529,San Fernando,PH,87.15,overcast clouds,15.0286,120.6898,Maharlika Hostel
533,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
539,Sao Joao Da Barra,BR,75.24,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
541,Pasni,PK,71.33,clear sky,25.2631,63.471,Kashmiri Hotal
545,Carauari,BR,72.88,heavy intensity rain,-4.8828,-66.8958,Hotel Fellip
547,Kupang,ID,84.72,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
549,Eyl,SO,72.82,broken clouds,7.9803,49.8164,Amiin Hotel
550,Inirida,CO,77.05,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
551,Yenagoa,NG,77.23,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
555,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
558,Manaus,BR,77.5,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
561,Marigot,MF,76.78,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
562,Andros Town,BS,75.16,clear sky,24.7,-77.7667,Hanks place
563,Loa Janan,ID,75.16,overcast clouds,-0.583,117.095,Kost bu jono
564,Tsogni,GA,76.08,light rain,-2.7942,10.0988,
567,Bubaque,GW,77.32,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
569,Gua Musang,MY,81.61,broken clouds,4.8823,101.9644,Mines Inn Hotel
570,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
574,Yaan,NG,76.46,broken clouds,7.3833,8.5667,
576,Fare,PF,81.55,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
580,Soc Trang,VN,80.56,overcast clouds,9.6033,105.98,Phu Quy Hotel
582,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
584,Latung,PH,79.45,light rain,5.5,120.8833,
586,Simbahan,PH,79.65,light rain,6.3032,120.5836,
589,Pozo Colorado,PY,83.84,scattered clouds,-23.4923,-58.7972,Hospedaje la Amistad
590,Buin,CL,74.73,clear sky,-33.7333,-70.75,Paihuen
592,Tacuarembo,UY,72.23,few clouds,-31.7333,-55.9833,Complejo San Fructuoso
595,Bosconia,CO,85.19,broken clouds,9.9689,-73.8836,Hotel Jorlin
596,Birao,CF,70.7,scattered clouds,10.2849,22.7882,
602,Gaoua,BF,81.12,clear sky,10.2992,-3.2508,
605,Punta De Bombon,PE,71.33,broken clouds,-17.1717,-71.7931,Hotel Bedregal
607,Marawi,PH,72.64,overcast clouds,7.9986,124.2928,Derogongan Residence
611,Torit,SS,77.56,scattered clouds,4.4133,32.5678,Diplomat Guest House
612,Tessalit,ML,70.99,overcast clouds,20.1986,1.0114,
613,Feira Grande,BR,75.7,few clouds,-9.8944,-36.6793,São Francisco Multieventos
