City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
149,Port Hedland,-20.3167,118.5667,100.45,20,0,12.66,AU,clear sky
150,Richards Bay,-28.783,32.0377,70.32,92,58,8.66,ZA,broken clouds
151,Prince Rupert,54.3161,-130.3201,39.51,88,100,5.48,CA,light rain
152,Kaitangata,-46.2817,169.8464,60.67,52,49,7.43,NZ,scattered clouds
153,Hobyo,5.3505,48.5268,78.17,67,87,20.69,SO,overcast clouds
154,Geraldton,-28.7667,114.6,91.81,22,68,8.05,AU,broken clouds
155,Luanda,-8.8368,13.2343,77.59,86,100,4.18,AO,overcast clouds
156,Redmond,47.674,-122.1215,48.54,84,100,10.0,US,overcast clouds
157,Victoria,22.2855,114.1577,49.24,90,100,17.0,HK,light rain
158,Tirumullaivasal,11.2333,79.8333,76.66,75,77,7.45,IN,broken clouds
159,Kedgwick,47.6446,-67.3434,12.4,97,100,3.49,CA,light snow
160,Sinnamary,5.3833,-52.95,75.11,89,62,6.62,GF,light rain
161,Comodoro Rivadavia,-45.8667,-67.5,57.06,94,75,17.27,AR,light intensity drizzle
162,Coquimbo,-29.9533,-71.3436,62.33,82,0,3.44,CL,clear sky
163,Kousseri,12.0769,15.0306,67.05,15,6,12.33,CM,clear sky
164,Los Llanos De Aridane,28.6585,-17.9182,56.12,76,75,14.97,ES,broken clouds
165,Bhunya,-26.55,31.0167,61.61,96,2,3.24,SZ,clear sky
166,Lorengau,-2.0226,147.2712,84.49,78,100,9.26,PG,overcast clouds
167,Chokurdakh,70.6333,147.9167,-30.98,100,100,3.04,RU,overcast clouds
168,Saskylakh,71.9167,114.0833,-23.82,100,90,7.49,RU,overcast clouds
169,Ginda,30.6945,78.4932,31.17,32,0,7.45,IN,clear sky
170,Ankazobe,-18.3167,47.1167,61.21,93,67,3.67,MG,broken clouds
171,Harper,4.375,-7.7169,78.8,87,42,9.01,LR,scattered clouds
172,Nelson Bay,-32.7167,152.15,85.28,67,40,15.68,AU,scattered clouds
173,Honiara,-9.4333,159.95,86.2,70,39,5.35,SB,scattered clouds
174,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.93,79,39,10.4,BR,scattered clouds
175,Sapele,5.8941,5.6767,77.99,88,100,2.37,NG,overcast clouds
176,Huarmey,-10.0681,-78.1522,72.59,82,100,8.34,PE,overcast clouds
177,Cooma,-36.2333,149.1333,82.33,27,0,12.75,AU,clear sky
178,The Valley,18.217,-63.0578,77.09,68,8,15.46,AI,clear sky
179,Rawson,-43.3002,-65.1023,62.67,87,90,23.73,AR,overcast clouds
180,Faya,18.3851,42.4509,54.12,82,1,5.7,SA,clear sky
181,Cidreira,-30.1811,-50.2056,74.21,76,0,13.98,BR,clear sky
182,Dodge City,37.7528,-100.0171,52.25,31,0,20.71,US,clear sky
183,Atikokan,48.7555,-91.6216,10.8,94,100,11.9,CA,snow
184,Narsaq,60.9167,-46.05,16.02,81,100,8.9,GL,overcast clouds
185,Havre-Saint-Pierre,50.2334,-63.5986,12.02,95,100,4.52,CA,light snow
186,Hwange,-18.3693,26.5019,67.77,76,97,2.28,ZW,overcast clouds
187,Thinadhoo,0.5333,72.9333,81.45,71,100,7.25,MV,overcast clouds
188,Praia,14.9215,-23.5087,68.54,73,20,23.02,CV,few clouds
189,Rio Grande,-32.035,-52.0986,72.5,73,0,14.09,BR,clear sky
